PRICE,DATE,QUARTER,MONTH,YEAR,NEIGHBORHOOD,CLUSTER,WARD,LOTSIZE,FLOORSPACE,AGE,BEDROOM,BATHROOM,HALFBATHROOM,FLOOR,HEAT,AC,FIREPLACE,BTYPE,CBD,METRO,POPU,SCHOOL,INCOME,VCRIMES,PCRIMES,FORE,BLACK,WHITE,HIS,ASIAN,POVERTY,UNEM,TEENMUM,VACANCY,OWNER,VOLUMN,MPRICE,FEMALEHEADED,LOWWEIGHT,SUBPRIME
605,28/07/2009,7,19,"2,009",KALORAMA,1,1,239,529,86,1,1,0,1,0,1,0,4,3193.29,807.574,18338,6.98,172362,9.7,39,20,11,69,13,6.8,5.8,4,5.8,3.7,43,24,991000,18,6.7,1.6
458,24/04/2009,6,16,"2,009",KALORAMA,1,1,271,617,86,1,1,0,1,0,1,0,4,3193.29,807.574,18338,6.98,172362,9.7,39,20,11,69,13,6.8,5.8,4,5.8,3.7,43,24,991000,18,6.7,1.6
373,22/04/2009,6,16,"2,009",KALORAMA,1,1,272,596,86,1,1,0,1,0,1,0,4,3193.29,807.574,18338,6.98,172362,9.7,39,20,11,69,13,6.8,5.8,4,5.8,3.7,43,24,991000,18,6.7,1.6
475,28/04/2009,6,16,"2,009",KALORAMA,1,1,320,740,86,1,1,0,1,0,1,0,4,3193.29,807.574,18338,6.98,172362,9.7,39,20,11,69,13,6.8,5.8,4,5.8,3.7,43,24,991000,18,6.7,1.6
465,28/04/2009,6,16,"2,009",KALORAMA,1,1,320,740,86,2,1,0,1,0,1,0,4,3193.29,807.574,18338,6.98,172362,9.7,39,20,11,69,13,6.8,5.8,4,5.8,3.7,43,24,991000,18,6.7,1.6
445,27/04/2009,6,16,"2,009",KALORAMA,1,1,239,529,86,1,1,0,1,0,1,0,4,3193.29,807.574,18338,6.98,172362,9.7,39,20,11,69,13,6.8,5.8,4,5.8,3.7,43,24,991000,18,6.7,1.6
478,27/04/2009,6,16,"2,009",KALORAMA,1,1,272,596,86,1,1,0,1,0,1,0,4,3193.29,807.574,18338,6.98,172362,9.7,39,20,11,69,13,6.8,5.8,4,5.8,3.7,43,24,991000,18,6.7,1.6
567,26/01/2009,5,13,"2,009",KALORAMA,1,1,609,1466,98,2,2,0,1,1,1,1,4,3185.10,879.129,18338,6.98,172362,9.7,39,20,11,69,13,6.8,5.8,4,5.8,3.7,43,24,991000,18,6.7,1.6
496,13/11/2009,8,23,"2,009",MOUNT PLEASANT,2,1,363,1089,91,1,2,0,1,0,1,1,4,3180.64,991.287,47378,8.26,79381,15,44,30,38,31,27,4.4,18,8.2,14,4.3,34,105,437000,44,8.9,6.2
450,07/05/2009,6,17,"2,009",COLUMBIA HEIGHTS,2,1,3080,1802,99,4,4,1,1,0,1,1,3,3184.16,686.997,47378,8.26,79381,15,44,30,38,31,27,4.4,18,8.2,14,4.3,34,105,437000,44,8.9,6.2
547,26/05/2009,6,17,"2,009",KALORAMA,1,1,347,620,106,1,1,0,1,0,0,1,4,3174.52,912.210,18338,6.98,172362,9.7,39,20,11,69,13,6.8,5.8,4,5.8,3.7,43,24,991000,18,6.7,1.6
598,06/06/2008,2,6,"2,008",COLUMBIA HEIGHTS,2,1,353,685,0,1,1,0,1,0,1,0,4,3178.27,687.279,47378,8.26,79381,17,44,30,38,31,27,4.4,18,8.2,14,4.3,34,97,517000,44,8.9,6.2
523,17/06/2008,2,6,"2,008",COLUMBIA HEIGHTS,2,1,353,683,0,1,1,0,1,0,1,0,4,3178.27,687.279,47378,8.26,79381,17,44,30,38,31,27,4.4,18,8.2,14,4.3,34,97,517000,44,8.9,6.2
524,23/06/2008,2,6,"2,008",COLUMBIA HEIGHTS,2,1,375,685,0,1,1,0,1,0,1,0,4,3178.27,687.279,47378,8.26,79381,17,44,30,38,31,27,4.4,18,8.2,14,4.3,34,97,517000,44,8.9,6.2
606,09/06/2009,6,18,"2,009",MOUNT PLEASANT,2,1,963,966,94,3,3,0,1,0,1,0,3,3176.71,962.576,47378,8.26,79381,15,44,30,38,31,27,4.4,18,8.2,14,4.3,34,105,437000,44,8.9,6.2
530,03/06/2008,2,6,"2,008",MOUNT PLEASANT,2,1,387,1141,90,1,2,0,1,0,1,1,4,3163.85,1028.085,47378,8.26,79381,17,44,30,38,31,27,4.4,18,8.2,14,4.3,34,97,517000,44,8.9,6.2
445,08/09/2008,3,9,"2,008",COLUMBIA HEIGHTS,2,1,1233,1343,96,2,2,0,0,0,1,0,4,3163.53,675.468,47378,8.26,79381,17,44,30,38,31,27,4.4,18,8.2,14,4.3,34,97,517000,44,8.9,6.2
333,15/01/2009,5,13,"2,009",COLUMBIA HEIGHTS,2,1,1130,1037,109,2,2,0,1,0,1,1,4,3165.26,673.022,47378,8.26,79381,15,44,30,38,31,27,4.4,18,8.2,14,4.3,34,105,437000,44,8.9,6.2
364,14/10/2008,4,10,"2,008",COLUMBIA HEIGHTS,2,1,1233,1353,96,2,2,0,0,0,1,0,4,3163.53,675.468,47378,8.26,79381,17,44,30,38,31,27,4.4,18,8.2,14,4.3,34,97,517000,44,8.9,6.2
520,07/10/2008,4,10,"2,008",COLUMBIA HEIGHTS,2,1,942,864,96,2,1,0,0,0,1,0,4,3163.53,675.468,47378,8.26,79381,17,44,30,38,31,27,4.4,18,8.2,14,4.3,34,97,517000,44,8.9,6.2
534,09/07/2009,7,19,"2,009",COLUMBIA HEIGHTS,2,1,800,749,97,2,1,0,0,0,1,0,4,3163.53,675.468,47378,8.26,79381,15,44,30,38,31,27,4.4,18,8.2,14,4.3,34,105,437000,44,8.9,6.2
489,04/11/2009,8,23,"2,009",COLUMBIA HEIGHTS,2,1,800,767,97,2,1,0,0,0,1,0,4,3163.53,675.468,47378,8.26,79381,15,44,30,38,31,27,4.4,18,8.2,14,4.3,34,105,437000,44,8.9,6.2
521,04/11/2009,8,23,"2,009",COLUMBIA HEIGHTS,2,1,468,512,97,1,1,0,1,0,1,0,4,3163.53,675.468,47378,8.26,79381,15,44,30,38,31,27,4.4,18,8.2,14,4.3,34,105,437000,44,8.9,6.2
519,04/12/2009,8,24,"2,009",COLUMBIA HEIGHTS,2,1,942,809,97,1,1,0,0,0,1,0,4,3163.53,675.468,47378,8.26,79381,15,44,30,38,31,27,4.4,18,8.2,14,4.3,34,105,437000,44,8.9,6.2
442,06/06/2008,2,6,"2,008",COLUMBIA HEIGHTS,2,1,652,696,96,1,1,0,0,0,1,0,4,3159.07,666.382,47378,8.26,79381,17,44,30,38,31,27,4.4,18,8.2,14,4.3,34,97,517000,44,8.9,6.2
517,11/09/2009,7,21,"2,009",KALORAMA,1,1,729,1333,99,2,2,1,1,1,1,1,4,3152.79,941.768,18338,6.98,172362,9.7,39,20,11,69,13,6.8,5.8,4,5.8,3.7,43,24,991000,18,6.7,1.6
551,08/07/2008,3,7,"2,008",KALORAMA,1,1,704,1721,97,3,2,1,1,1,1,1,4,3154.07,891.232,18338,6.98,172362,11,41,20,11,69,13,6.8,5.8,4,5.8,3.7,43,16,1182000,18,6.7,1.6
475,02/11/2009,8,23,"2,009",KALORAMA,1,1,480,957,109,2,1,1,0,1,1,1,4,3143.83,959.155,18338,6.98,172362,9.7,39,20,11,69,13,6.8,5.8,4,5.8,3.7,43,24,991000,18,6.7,1.6
579,13/05/2008,2,5,"2,008",KALORAMA,1,1,494,949,108,2,2,0,1,1,1,0,4,3136.34,986.005,18338,6.98,172362,11,41,20,11,69,13,6.8,5.8,4,5.8,3.7,43,16,1182000,18,6.7,1.6
652,20/11/2009,8,23,"2,009",MOUNT PLEASANT,2,1,960,920,95,2,2,0,1,0,1,1,3,3143.21,1005.589,47378,8.26,79381,15,44,30,38,31,27,4.4,18,8.2,14,4.3,34,105,437000,44,8.9,6.2
