Sample,PRICE,DATE,NEIGHBORHOOD,N_CAH,N_CE,N_OC1,N_OC2,N_RSW,CLUSTER,WARD,OUTLIER 3s,LOTSIZE,FLOORSPACE,AGE,BEDROOM,BATHROOM,HALFBATHROOM,FLOOR,HEAT,AC,FIREPLACE,BTYPE,CBD,METRO,POPU,SCHOOL,INCOME,VCRIMES,PCRIMES,FORE,BLACK,WHITE,HIS,ASIAN,POVERTY,UNEM,TEENMUM,VACANCY,OWNER,VOLUMN,MPRICE,FEMALEHEADED,LOWWEIGHT,SUBPRIME
0.8182580648,232,18/03/2008,OLD CITY II,0,0,0,1,0,7,6,,104,868,1,1,1,0,1,0,1,0,4,1411.07,437.72,23895,7.00,104622,11,54,21,29,48,15,7.8,16,6.3,9.8,7,34,37,567000,44,9.2,4.1
0.8204009478,260,24/04/2008,R.L.A. SW,0,0,0,0,1,9,6,,555,867,43,1,1,0,1,0,1,0,4,2482.63,447.48,11588,7.31,83289,13,37,13,56,33,5.2,5.2,20,10,13,1,39,15,658000,63,16,5.4
0.821609582,492,04/12/2009,OLD CITY I,0,0,1,0,0,25,6,,324,466,63,1,1,0,1,0,1,0,4,4015.18,289.87,29295,7.58,126277,15,56,6.1,43,49,4.3,3.2,13,6.5,7.2,3.9,57,219,475000,40,10,11
0.8245143078,477,31/10/2008,OLD CITY II,0,0,0,1,0,7,6,,122,754,1,1,1,0,1,0,1,0,4,1427.39,459.90,23895,7.00,104622,11,54,21,29,48,15,7.8,16,6.3,9.8,7,34,37,567000,44,9.2,4.1
0.8246845974,426,01/06/2009,OLD CITY I,0,0,1,0,0,25,6,,35,833,2,1,1,0,1,1,1,0,4,3925.28,100.31,29295,7.58,126277,15,56,6.1,43,49,4.3,3.2,13,6.5,7.2,3.9,57,219,475000,40,10,11
0.8252062052,421,02/06/2008,R.L.A. SW,0,0,0,0,1,9,6,,223,617,49,1,1,0,1,0,1,0,4,2474.20,601.22,11588,7.31,83289,13,37,13,56,33,5.2,5.2,20,10,13,1,39,15,658000,63,16,5.4
0.8252904105,533,06/06/2008,OLD CITY I,0,0,1,0,0,25,6,,35,822,1,1,2,0,1,1,1,0,4,3925.28,100.31,29295,7.58,126277,16,60,6.1,43,49,4.3,3.2,13,6.5,7.2,3.9,57,211,477000,40,10,11
0.8261245214,440,03/09/2009,OLD CITY II,0,0,0,1,0,7,6,,9,728,1,1,1,0,1,0,1,0,4,1266.51,465.73,23895,7.00,104622,11,49,21,29,48,15,7.8,16,6.3,9.8,7,34,25,559000,44,9.2,4.1
0.8263677224,524,02/11/2009,OLD CITY II,0,0,0,1,0,7,6,,93,692,2,1,1,0,1,0,1,0,4,2489.07,623.80,23895,7.00,104622,11,49,21,29,48,15,7.8,16,6.3,9.8,7,34,25,559000,44,9.2,4.1
0.826790229,463,11/09/2008,OLD CITY I,0,0,1,0,0,25,6,,29,708,1,1,1,0,1,1,1,0,4,3901.60,114.24,29295,7.58,126277,16,60,6.1,43,49,4.3,3.2,13,6.5,7.2,3.9,57,211,477000,40,10,11
0.8273391462,471,12/09/2008,OLD CITY II,0,0,0,1,0,7,6,,13,1008,0,1,2,0,1,0,1,0,4,1266.51,465.73,23895,7.00,104622,11,54,21,29,48,15,7.8,16,6.3,9.8,7,34,37,567000,44,9.2,4.1
0.8278499201,352,17/12/2009,OLD CITY I,0,0,1,0,0,25,6,,823,1020,109,1,1,0,0,0,1,0,4,1024.44,481.65,29295,7.58,126277,15,56,6.1,43,49,4.3,3.2,13,6.5,7.2,3.9,57,219,475000,40,10,11
0.8279364856,535,17/03/2008,OLD CITY I,0,0,1,0,0,25,6,,29,684,1,1,1,0,1,1,1,0,4,3925.28,100.31,29295,7.58,126277,16,60,6.1,43,49,4.3,3.2,13,6.5,7.2,3.9,57,211,477000,40,10,11
0.8294878431,485,09/01/2009,CENTRAL,0,1,0,0,0,5,6,,69,793,5,1,1,0,0,1,1,0,4,672.73,256.62,16160,6.48,203276,3.6,24,20,6.7,75,5.7,12,27,3.2,2.6,13,39,7,0,18,6,0.7
0.8296003234,464,29/09/2009,OLD CITY II,0,0,0,1,0,7,6,,11,879,1,1,1,0,1,0,1,0,4,1266.51,465.73,23895,7.00,104622,11,49,21,29,48,15,7.8,16,6.3,9.8,7,34,25,559000,44,9.2,4.1
0.8315209985,655,02/07/2008,CAPITOL HILL,1,0,0,0,0,26,6,,326,497,100,1,1,0,1,0,1,1,4,2594.66,777.51,20909,7.29,169454,9.5,48,8,35,56,5.2,3.4,6.6,3.8,2.2,1.4,58,159,557000,18,8.7,5.8
